,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
63,ROOFTOP,"Mall of Medini, 79100 Nusajaya, Johor, Malaysia",ChIJTWnN_ogL2jER_vHyehiA0K4,Mall of Medini,1.4290229,103.6331061,1,79100,OK,premise
64,ROOFTOP,"3, Jalan Persisiran Perling, Taman Perling, 81200 Johor Bahru, Johor, Malaysia",ChIJHy20ih9z2jERrDl0bzQ2xwQ,Perling Mall,1.4967001,103.6809575,1,81200,OK,"establishment,point_of_interest,premise"
65,ROOFTOP,"01-51 01-52 01-53, Jalan Skudai Batu 10, Skudai, 81300 Skudai, Johor, Malaysia",ChIJZTWIiMJz2jERKa4pEK__HBk,Skudai Parade,1.5415726,103.6599695,1,81300,OK,"establishment,point_of_interest,premise"
66,ROOFTOP,"Sutera Mall, 1, Jalan Sutera Tanjung 8/4, Taman Sutera Utama, 81300 Skudai, Johor, Malaysia",ChIJ5-YuwMFz2jERCJbqqo0ig0U,Sutera Mall,1.5178091,103.6714578,1,81300,OK,"establishment,point_of_interest,shopping_mall"
67,ROOFTOP,"Plaza Tasek, 2, Jalan Pendekar 16, Taman Ungku Tun Aminah, 81300 Skudai, Johor, Malaysia",ChIJMzC4uXVz2jERDMi3_zkpoB0,Tasek Central,1.5139952,103.6555294,1,81300,OK,"establishment,point_of_interest,shopping_mall"
68,ROOFTOP,"155 Dorset St, South Burlington, VT 05403, USA",ChIJ7ad-fzR6ykwRsKcl0xIGe4o,U Mall,44.4658817,-73.184102,1,5403,OK,"establishment,point_of_interest,shopping_mall"
69,ROOFTOP,"3, Jln Dato' Onn 3, Bandar Dato Onn, 81100 Johor Bahru, Johor, Malaysia",ChIJ2St8mxxu2jERTeACpDMGci4,ÆON Mall Bandar Dato' Onn,1.5636016,103.7346083,1,81100,OK,"establishment,point_of_interest,shopping_mall"
70,ROOFTOP,"1, Jalan Permas Jaya Utara, Bandar Baru Permas Jaya, 81750 Masai, Johor, Malaysia",ChIJ0dhK26Fs2jERQRHi53-CWwc,ÆON Permas Jaya Shopping Centre,1.495621,103.817948,1,81750,OK,"atm,establishment,finance,point_of_interest"
71,ROOFTOP,"1, Jalan Desa Tebrau, Taman Desa Tebrau, 81100 Johor Bahru, Johor, Malaysia",ChIJx8-KoSFs2jERlFrUVqE5gl4,ÆON Tebrau City Shopping Centre,1.5496967,103.7967216,1,81100,OK,"establishment,point_of_interest,shopping_mall"
72,GEOMETRIC_CENTER,"L2.13 Level 2 Plaza Angsana No. 52 Jalan Tampoi Pusat Bandar Tampoi, Bandar Baru Uda, 81200 Johor Bahru, Johor, Malaysia",ChIJH9Llir9y2jERFryY-pcx09Y,Angsana Johor Bahru Mall,1.495124,103.705895,2,81200,OK,"establishment,point_of_interest,shopping_mall"
73,GEOMETRIC_CENTER,"Malaysia, Johor, Johor Bahru, L4-20, Jalan Tun Abdul RazakDanga City Mall邮政编码: 80000",ChIJcRMOrssS2jERU2e2AZOthDk,Danga City Mall,1.474376,103.755387,1,80000,OK,"establishment,point_of_interest,shopping_mall"
74,GEOMETRIC_CENTER,"Jalan Trus, Bandar Johor Bahru, 80000 Johor Bahru, Johor, Malaysia",ChIJj17Dt8IS2jERpo41GcSpoJE,Galleria@Kotaraya,1.4592071,103.7633351,1,80000,OK,"establishment,point_of_interest,shopping_mall"
75,ROOFTOP,"1720 Texas Ave, Bryan, TX 77802, USA",ChIJbdsrRn-BRoYR4IA8RmxPL8Y,Holiday Plaza,30.6528383,-96.3646582,1,77802,OK,"establishment,lodging,point_of_interest"
76,ROOFTOP,"33, Jalan Harmonium 23/13, Taman Desa Tebrau, 81100 Johor Bahru, Johor, Malaysia",ChIJe9c4GyBs2jERc0GAMX_D0Lc,IKEA Tebrau,1.5519248,103.7994554,1,81100,OK,"establishment,furniture_store,home_goods_store,point_of_interest,store"
77,ROOFTOP,"106, 108, Jalan Wong Ah Fook, Bandar Johor Bahru, 80000 Johor Bahru, Johor, Malaysia",ChIJZ6vyT8MS2jERZbHkx3oUHnQ,Johor Bahru City Square,1.4618353,103.7639233,1,80000,OK,"establishment,point_of_interest,shopping_mall"
78,GEOMETRIC_CENTER,"Level 3 BUTIK ARMADA LANUN JOHOR, KOMTAR JBCC, City Centre, 80000 Johor Bahru, Johor, Malaysia",ChIJIyLLVcMS2jER0xwvgEmFUk4,Komtar JBCC,1.4630765,103.7629184,1,80000,OK,"establishment,point_of_interest,shopping_mall"
79,ROOFTOP,"33, Jalan Seladang, Taman Abad, 80250 Johor Bahru, Johor, Malaysia",ChIJZ6EbFTBt2jERflX9tqaEOF0,KSL City,1.4855339,103.7623083,1,80250,OK,"establishment,lodging,point_of_interest,shopping_mall"
80,GEOMETRIC_CENTER,"Jalan Bertingkat Skudai, Taman Bukit Mewah, 81200 Johor Bahru, Johor, Malaysia",ChIJIf-ff_9y2jERb19MfG9Nuw0,Paradigm Mall Johor Bahru,1.5158909,103.6854686,1,81200,OK,"establishment,point_of_interest,shopping_mall"
81,ROOFTOP,"Plaza Pelangi, Lot 3.29 & 3.29A, Level, 3, Jalan Kuning, Taman Pelangi, 80400 Johor Bahru, Johor, Malaysia",ChIJEVipoi1t2jERSAPBSPOsOpg,Pelangi Plaza,1.47998,103.7652085,1,80400,OK,"establishment,point_of_interest,shopping_mall"
82,ROOFTOP,"15 St Pauls Pl, Great Neck, NY 11021, USA",ChIJHdnJ9aKJwokR4JKhvdtLEP0,Sentosa Plaza,40.788836,-73.7221528,1,11021,OK,"establishment,health,point_of_interest"
83,ROOFTOP,"4, Jalan Kota Tinggi, 81800 Ulu Tiram, Johor, Malaysia",ChIJyTOORDVv2jERXgIKHliQDmE,Today's Mall,1.6085296,103.8211432,1,81800,OK,"establishment,point_of_interest,shopping_mall"
84,GEOMETRIC_CENTER,"Kampung Masjid Lama, 86000 Kluang, Johor, Malaysia",ChIJAQDAubBt0DER75_Ka-8icK8,BCB Plaza,2.0354804,103.3229051,1,86000,OK,"establishment,point_of_interest,shopping_mall"
85,GEOMETRIC_CENTER,"Jalan Rambutan, Taman Suria, 86000 Kluang, Johor, Malaysia",ChIJF0wwO65t0DERDAwUFJpUux8,Kluang Mall,2.040068,103.3205093,1,86000,OK,"establishment,point_of_interest,shopping_mall"
86,GEOMETRIC_CENTER,"Jalan Mata Kucing, Kampung Masjid Lama, 86000 Kluang, Johor, Malaysia",ChIJZ_ltIrFt0DERMcpzJKp4Mv0,Kluang Parade,2.0359826,103.320719,1,86000,OK,"establishment,movie_theater,point_of_interest"
87,ROOFTOP,"1895 14th Ave SE, Albany, OR 97322, USA",ChIJAeZwgLxswFQRRi6WRVV1z8w,Heritage Mall,44.629862,-123.080172,1,97322,OK,"establishment,point_of_interest,shopping_mall"
88,GEOMETRIC_CENTER,"Bandar Indahpura, 81000 Kulai, Johor, Malaysia",ChIJAYXRIel52jEROJztI31cKfk,ÆON Mall Kulaijaya,1.6407066,103.6174969,1,81000,OK,"establishment,point_of_interest,shopping_mall"
89,GEOMETRIC_CENTER,"LG-01, Lower Ground Floor, Lebuh Putra Utama, Johor, Bandar Putra, 81000, Malaysia",ChIJmQ5JFMx72jER6SVA4Lu05ds,IOI Mall Kulai,1.6479829,103.6263922,1,81000,OK,"establishment,point_of_interest,shopping_mall"
90,GEOMETRIC_CENTER,"Jalan Premium Outlets Indahpura, 81000 Kulai, Johor, Malaysia",ChIJi9eLLjp32jERCIzJKhsQF7k,Johor Premium Outlets,1.6036577,103.6217117,1,81000,OK,"establishment,point_of_interest,shopping_mall"
91,ROOFTOP,"Lot 1566, 20, Jalan Besar, Taman Mewah, 81000 Kulai, Johor, Malaysia",ChIJcdGR_KV52jER0QGlXt-kusE,Kulai Centre Point[3],1.661671,103.603182,1,81000,OK,"establishment,point_of_interest,shopping_mall"
92,ROOFTOP,"69, Jalan Ali, Pekan Muar, 84000 Muar, Johor, Malaysia",ChIJqam9lw-50TERvkqdhvcILoM,Wetex Parade,2.0442051,102.5664675,1,84000,OK,"establishment,point_of_interest,shopping_mall"
93,GEOMETRIC_CENTER,"Bandar Penawar, 81930 Kota Tinggi, Johor, Malaysia",ChIJVQ9aqDtM2jERBke0FwaS1kg,SKS City Mall Desaru,1.5737371,104.206373,1,81930,OK,"establishment,point_of_interest,shopping_mall"
94,ROOFTOP,"Pontian Plaza, Kampung Atap, 82000 Pontian District, Johor, Malaysia",ChIJDcEel3eY0DERf0b8w22jlXg,Plaza Pontian,1.4812175,103.3922154,1,82000,OK,premise
95,APPROXIMATE,"Segamat District, Johor, Malaysia",ChIJU5xYLVTSzzERtYCJJm47dak,Segamat Central,2.50346,102.8207542,1,,OK,"locality,political"
96,ROOFTOP,"Aman Central, Darul Aman Highway, Kampung Lubok Peringgi, 05100 Alor Setar, Kedah, Malaysia",ChIJpRemiblESzARdkytmmL-ofQ,Alor Setar Mall,6.1251054,100.3663971,1,5100,OK,"establishment,point_of_interest,shopping_mall"
